question,n,yes,no,yes_pct
Aware of interview preparation support before the event?,18,15,3,0.8333333333333334
Aware of resume and professional-profile support before the event?,18,14,4,0.7777777777777778
Did you recruit any of your friends to come to the Career Fair with you?,18,13,5,0.7222222222222222
Aware of drop-in career support before the event?,18,12,6,0.6666666666666666
Did you know that Internships were the best predictors of getting a job after graduating?,17,11,6,0.6470588235294118
Did you register for the Career Fair in advance?,18,9,9,0.5
Did you attend a pre-event resume preparation session?,18,4,14,0.2222222222222222
